seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
90,140,6132,59.3,61.87,20.622915403332918,3.2758829593658447
90,150,6666,53.4,45.31,27.6060469664774,3.4891209602355957
90,160,7099,43.3,37.79,117.31377316430016,3.666639804840088
90,170,7510,41.1,69.49,95.88101771877368,3.9885339736938477
90,180,8122,61.2,67.88,5.252142678051266,4.29013204574585
90,190,8818,69.6,58.78,23.878983881164807,4.624284982681274
90,200,9470,65.2,124.12,40.83212730013308,5.134583950042725
90,210,10134,66.4,41.69,68.05696303794545,5.362148761749268
90,220,10528,39.4,43.16,5.602071770041329,5.562737941741943
90,230,10954,42.6,55.54,22.178125367437822,5.807965993881226
90,240,11533,57.9,48.42,10.15459723657494,6.0838000774383545
90,250,11997,46.4,47.92,8.33213556483356,6.30805778503418
90,260,12379,38.2,52.01,14.651051294450898,6.535239934921265
90,270,12895,51.6,76.9,28.94495072568355,6.909038066864014
90,280,13581,68.6,113.02,26.480964227717138,7.394362926483154
90,290,14398,81.7,43.95,74.19250572042749,7.6825950145721436
90,300,14824,42.6,62.91,28.639042179049095,7.9560887813568115
90,310,15402,57.8,52.26,14.368024266421932,8.210443019866943
90,320,15876,47.4,61.96,13.658983456181579,8.530203819274902
90,330,16427,55.1,44.13,28.565261214096132,8.75120997428894
90,340,16835,40.8,33.6,23.730318590909263,8.923053979873657
90,350,17149,31.4,47.95,29.548138914726408,9.172030925750732
90,360,17562,41.3,41.96,12.026777776305686,9.366710901260376
90,370,17990,42.8,75.84,46.71880584533107,9.683159112930298
90,380,18551,56.1,54.18,22.64550983842107,9.941115856170654
90,390,19079,52.8,41.87,26.892358850277223,10.19843578338623
90,400,19471,39.2,41.08,11.850928037117725,10.391771793365479
90,410,19834,36.3,128.04,79.83009284357954,10.91288709640503
90,420,20672,83.8,82.76,61.256533088781225,11.300421953201294
90,430,21355,68.3,52.64,40.46129470123978,11.562273025512695
90,440,21892,53.7,170.54,61.06341380533759,12.206469774246216
90,450,23149,125.7,124.86,71.8155666610531,12.773578882217407
90,460,24043,89.4,30.54,194.08991711237968,12.985580921173096
90,470,24308,26.5,23.99,14.400339737739731,13.10254693031311
90,480,24527,21.9,28.13,12.925196477782997,13.228003740310669
90,490,24824,29.7,89.38,29.97333021918018,13.622428894042969
90,500,25234,41.0,72.45,61.261043186727946,13.918181896209717
100,10,118,11.8,9.33,27.849515186133132,0.04739093780517578
100,20,268,15.0,9.33,28.616361935891504,0.09677410125732422
100,30,409,14.1,9.33,11.847655416674403,0.1448061466217041
100,40,535,12.6,9.33,3.3131730328162523,0.1916358470916748
100,50,710,17.5,9.33,28.195804249154822,0.24363994598388672
100,60,892,18.2,79.36,32.590051150112004,0.5306570529937744
100,70,1108,21.6,25.76,28.828152668752786,0.6423778533935547
100,80,1414,30.6,105.93,18.039756537340573,1.0313992500305176
100,90,1826,41.2,64.44,27.11932306484964,1.2929179668426514
100,100,2290,46.4,40.24,14.488066107178845,1.4800539016723633
100,110,2618,32.8,120.73,23.67079366875366,1.920738935470581
100,120,3194,57.6,52.7,30.174988126287637,2.161436080932617
100,130,3520,32.6,343.05,26.952750924082828,3.337027072906494
100,140,4383,86.3,201.99,41.14128758926809,4.11689019203186
100,150,5172,78.9,19.35,106.10362172436176,4.2720160484313965
100,160,5388,21.6,103.6,47.32778502434693,4.647397041320801
100,170,5764,37.6,446.28,40.997830797291236,6.175812005996704
100,180,7247,148.3,78.71,123.64137796171168,6.603929042816162
100,190,7766,51.9,75.85,134.97234819354819,6.9198949337005615
100,200,8178,41.2,173.12,104.97820576680762,7.545621871948242
100,210,9332,115.4,174.91,58.764040198488395,8.280103206634521
100,220,10771,143.9,37.53,177.7905231591266,8.588144063949585
100,230,11121,35.0,52.32,31.3496278296327,8.812582015991211
100,240,11695,57.4,170.63,58.50896027995796,9.454042196273804
100,250,12637,94.2,265.33,16.72762560454312,10.497651100158691
100,260,13776,113.9,152.11,23.71871412339781,11.177693128585815
100,270,14805,102.9,48.17,76.82072559187151,11.460124015808105
100,280,15252,44.7,88.97,47.162985813941596,11.828585863113403
100,290,15977,72.5,177.81,58.26544638475352,12.523043155670166
100,300,17025,104.8,500.0,120.5004094724298,14.321038961410522
110,10,166,16.6,9.35,30.194439365179093,0.05489706993103027
110,20,377,21.1,9.2,19.99333469337737,0.11171603202819824
110,30,605,22.8,117.27,57.08150629212214,0.5483760833740234
110,40,916,31.1,95.53,19.921739735985252,0.9250831604003906
110,50,1383,46.7,32.06,30.383404960012165,1.0950109958648682
110,60,1664,28.1,26.35,69.69445636759035,1.2187230587005615
110,70,1892,22.8,61.08,29.679665731351584,1.4529709815979004
110,80,2369,47.7,26.98,62.041067172913465,1.5978431701660156
110,90,2680,31.1,45.63,78.07905411124409,1.7913849353790283
110,100,3142,46.2,84.75,38.25569644927931,2.134408950805664
110,110,3938,79.6,29.14,100.51768157941652,2.328397035598755
110,120,4306,36.8,118.83,87.75035079124831,2.7831220626831055
110,130,5162,85.6,77.95,129.82096029329222,3.146857976913452
110,140,5517,35.5,272.41,102.01799638717407,4.160207033157349
110,150,7311,179.4,47.52,157.39120049203572,4.544499158859253
110,160,7737,42.6,180.66,87.80994492969839,5.240375995635986
110,170,9005,126.8,192.96,50.73061917784117,6.050925970077515
110,180,9960,95.5,200.99,16.81245332508112,6.850525140762329
110,190,10982,102.2,115.94,25.31896016464917,7.37177300453186
110,200,11864,88.2,101.4,49.803907862496615,7.821562051773071
110,210,12689,82.5,77.02,107.90395423896169,8.18061900138855
110,220,13202,51.3,194.54,83.72256854701617,8.909779071807861
110,230,14675,147.3,179.45,86.16606385033923,9.686663150787354
110,240,16177,150.2,210.14,38.069158626146454,10.621248960494995
110,250,17680,150.3,385.85,59.51454992974482,12.108884811401367
110,260,20483,280.3,356.01,130.25970470819337,13.654078006744385
110,270,21166,68.3,500.0,43.03485580327581,15.469138145446777
120,10,271,27.1,66.58,35.25335356403143,0.26626086235046387
120,20,605,33.4,25.17,39.757046562757345,0.39052796363830566
120,30,896,29.1,15.64,22.14738385873666,0.47776103019714355
120,40,1082,18.6,53.99,48.57901674365911,0.6816768646240234
120,50,1484,40.2,112.83,33.08641442915121,1.1132347583770752
120,60,1968,48.4,60.65,36.15099293223957,1.3761637210845947
120,70,2511,54.3,109.18,58.8767577609714,1.8068516254425049
120,80,3150,63.9,16.89,165.00078587825163,1.9374289512634277
120,90,3327,17.7,16.12,12.608614303046819,2.015235662460327
120,100,3497,17.0,24.24,48.120105852844304,2.1197056770324707
120,110,3745,24.8,25.32,9.091362918318843,2.236043930053711
120,120,4024,27.9,24.87,11.295706161833504,2.354172706604004
120,130,4304,28.0,24.27,12.827225816479526,2.4691927433013916
120,140,4531,22.7,27.7,17.437893902245957,2.5892159938812256
120,150,4789,25.8,41.76,28.498063710559457,2.759840965270996
120,160,5136,34.7,46.26,5.4482536165981355,2.9553377628326416
120,170,5627,49.1,143.54,77.61578221488044,3.492863893508911
120,180,6896,126.9,190.75,89.84137176963509,4.321224927902222
120,190,8469,157.3,92.19,192.34059784481616,4.818864822387695
120,200,9223,75.4,71.25,21.892971223278447,5.153601884841919
120,210,9791,56.8,66.03,9.588202844084938,5.44409966468811
120,220,10371,58.0,40.02,48.57550005410636,5.64996600151062
120,230,10746,37.5,53.76,38.459929229790454,5.876394987106323
120,240,11240,49.4,258.12,77.89468023107963,6.802509784698486
120,250,12248,100.8,195.65,86.61481231531945,7.5792388916015625
120,260,13077,82.9,198.64,33.39052876013292,8.356513023376465
