seed,lr,damping,global_episode,total_steps,train_mean_reward,eval_mean_reward,time_seconds,grad_norm,fim_condition_number
300,1.0,N/A,450,4659,9.5,9.28,2.554960250854492,0.0,N/A
300,1.0,N/A,460,4754,9.5,9.28,2.597926139831543,0.0,N/A
300,1.0,N/A,470,4849,9.5,9.28,2.640233039855957,0.0,N/A
300,1.0,N/A,480,4944,9.5,9.28,2.682225227355957,0.0,N/A
300,1.0,N/A,490,5039,9.5,9.28,2.723755121231079,0.0,N/A
300,1.0,N/A,500,5134,9.5,9.28,2.7650511264801025,0.0,N/A
400,1.0,N/A,10,208,20.8,21.1,0.09515213966369629,23.060388565063477,N/A
400,1.0,N/A,20,419,21.1,54.31,0.2941582202911377,35.49432373046875,N/A
400,1.0,N/A,30,928,50.9,47.69,0.5036633014678955,10.613648414611816,N/A
400,1.0,N/A,40,1408,48.0,26.29,0.641383171081543,25.528615951538086,N/A
400,1.0,N/A,50,1680,27.2,15.95,0.7245981693267822,17.273950576782227,N/A
400,1.0,N/A,60,1845,16.5,10.76,0.7792420387268066,28.973257064819336,N/A
400,1.0,N/A,70,1956,11.1,10.44,0.8351333141326904,7.522084712982178,N/A
400,1.0,N/A,80,2063,10.7,10.01,0.893552303314209,0.44435927271842957,N/A
400,1.0,N/A,90,2166,10.3,12.04,0.949397087097168,79.95259857177734,N/A
400,1.0,N/A,100,2290,12.4,13.87,1.0116512775421143,0.06994682550430298,N/A
400,1.0,N/A,110,2431,14.1,15.88,1.0844192504882812,3.5065109729766846,N/A
400,1.0,N/A,120,2594,16.3,17.64,1.16133713722229,0.524243950843811,N/A
400,1.0,N/A,130,2774,18.0,20.75,1.2488961219787598,6.446285724639893,N/A
400,1.0,N/A,140,2986,21.2,21.1,1.3404581546783447,28.853803634643555,N/A
400,1.0,N/A,150,3201,21.5,21.26,1.433159351348877,0.01846316270530224,N/A
400,1.0,N/A,160,3420,21.9,21.15,1.5254542827606201,7.316547870635986,N/A
400,1.0,N/A,170,3635,21.5,20.75,1.6167659759521484,5.250015735626221,N/A
400,1.0,N/A,180,3846,21.1,18.43,1.6998291015625,32.06090545654297,N/A
400,1.0,N/A,190,4031,18.5,16.3,1.773597240447998,14.0626220703125,N/A
400,1.0,N/A,200,4197,16.6,15.25,1.845459222793579,0.11938589066267014,N/A
400,1.0,N/A,210,4354,15.7,14.04,1.9105212688446045,1.0523496866226196,N/A
400,1.0,N/A,220,4499,14.5,12.93,1.9693901538848877,5.179143905639648,N/A
400,1.0,N/A,230,4629,13.0,12.19,2.023963212966919,1.8966270685195923,N/A
400,1.0,N/A,240,4755,12.6,12.05,2.0778472423553467,7.164931774139404,N/A
400,1.0,N/A,250,4879,12.4,12.17,2.1315441131591797,17.753131866455078,N/A
400,1.0,N/A,260,5005,12.6,12.32,2.1861162185668945,0.8849756121635437,N/A
400,1.0,N/A,270,5131,12.6,12.42,2.2407360076904297,2.152026653289795,N/A
400,1.0,N/A,280,5259,12.8,12.48,2.2963032722473145,0.5446800589561462,N/A
400,1.0,N/A,290,5387,12.8,12.54,2.351576089859009,0.1538470983505249,N/A
400,1.0,N/A,300,5515,12.8,13.27,2.409456253051758,21.744556427001953,N/A
400,1.0,N/A,310,5651,13.6,14.4,2.472679376602173,4.964696884155273,N/A
400,1.0,N/A,320,5797,14.6,14.92,2.538691282272339,7.17464017868042,N/A
400,1.0,N/A,330,5947,15.0,15.3,2.605931043624878,0.9131443500518799,N/A
400,1.0,N/A,340,6105,15.8,13.68,2.668161153793335,80.20587158203125,N/A
400,1.0,N/A,350,6245,14.0,12.56,2.7248473167419434,0.32934340834617615,N/A
400,1.0,N/A,360,6373,12.8,11.29,2.77591609954834,47.391929626464844,N/A
400,1.0,N/A,370,6487,11.4,10.61,2.8394932746887207,0.015588105656206608,N/A
400,1.0,N/A,380,6595,10.8,9.97,2.885881185531616,0.24648110568523407,N/A
400,1.0,N/A,390,6698,10.3,9.53,2.9292590618133545,0.0011096502421423793,N/A
400,1.0,N/A,400,6795,9.7,9.36,2.971428155899048,3.1353280544281006,N/A
400,1.0,N/A,410,6891,9.6,9.28,3.0129222869873047,0.2162439078092575,N/A
400,1.0,N/A,420,6986,9.5,9.28,3.054415225982666,0.06138380989432335,N/A
400,1.0,N/A,430,7081,9.5,9.28,3.0957603454589844,0.12546557188034058,N/A
400,1.0,N/A,440,7176,9.5,9.28,3.137000322341919,0.0,N/A
400,1.0,N/A,450,7271,9.5,9.28,3.1782472133636475,0.0,N/A
400,1.0,N/A,460,7366,9.5,9.28,3.219578266143799,0.0,N/A
400,1.0,N/A,470,7461,9.5,9.28,3.260744333267212,0.0,N/A
400,1.0,N/A,480,7556,9.5,9.28,3.301990270614624,0.0,N/A
400,1.0,N/A,490,7651,9.5,9.28,3.3433799743652344,0.0,N/A
400,1.0,N/A,500,7746,9.5,9.28,3.384510040283203,0.0,N/A
500,1.0,N/A,10,217,21.7,9.41,0.05516695976257324,65.59723663330078,N/A
500,1.0,N/A,20,310,9.3,9.41,0.09842491149902344,4.281673431396484,N/A
500,1.0,N/A,30,403,9.3,9.41,0.1410987377166748,0.0,N/A
