lr,seed,global_episode,train_mean_reward,eval_mean_reward,time_seconds
0.1,30,210,54.0,276.02,10.015604019165039
0.1,30,220,60.5,289.11,11.101119041442871
0.1,30,230,47.1,310.92,12.231827020645142
0.1,30,240,49.8,313.36,13.350845098495483
0.1,30,250,63.6,330.23,14.579161167144775
0.1,30,260,62.3,345.76,15.843195915222168
0.1,30,270,51.1,346.67,17.10798215866089
0.1,30,280,81.9,355.44,18.492795944213867
0.1,30,290,86.5,349.56,19.82122492790222
0.1,30,300,65.5,356.67,21.11575412750244
0.1,30,310,78.6,372.49,22.494993925094604
0.1,30,320,93.5,377.05,23.925659894943237
0.1,30,330,69.3,384.26,25.314522981643677
0.1,30,340,74.9,397.39,26.757174015045166
0.1,30,350,114.3,399.93,28.312761068344116
0.1,30,360,119.3,406.43,29.909384965896606
0.1,30,370,109.5,409.83,31.488924026489258
0.1,30,380,110.1,427.04,33.12293887138367
0.1,30,390,140.0,424.41,34.90707206726074
0.1,30,400,85.8,441.77,36.564270973205566
0.1,30,410,109.4,448.27,38.28164625167847
0.1,30,420,117.6,474.54,40.168424129486084
0.1,30,430,134.0,476.21,42.05416989326477
0.1,40,10,21.3,14.55,0.10061979293823242
0.1,40,20,24.2,16.5,0.20531272888183594
0.1,40,30,17.7,16.39,0.29894399642944336
0.1,40,40,24.3,19.62,0.4151458740234375
0.1,40,50,21.6,26.31,0.5483269691467285
0.1,40,60,33.0,33.46,0.7488117218017578
0.1,40,70,19.1,46.56,0.9442398548126221
0.1,40,80,36.1,69.15,1.24770188331604
0.1,40,90,38.1,63.85,1.5349948406219482
0.1,40,100,28.8,89.98,1.896143913269043
0.1,40,110,29.7,84.59,2.235147714614868
0.1,40,120,31.1,90.11,2.601879835128784
0.1,40,130,37.9,103.33,3.015758752822876
0.1,40,140,27.5,118.31,3.463308811187744
0.1,40,150,49.7,135.97,4.025515794754028
0.1,40,160,53.5,141.33,4.60797381401062
0.1,40,170,41.9,151.42,5.19535493850708
0.1,40,180,46.7,180.53,5.887387752532959
0.1,40,190,68.8,210.38,6.775670766830444
0.1,40,200,53.3,235.5,7.687717914581299
0.1,40,210,53.5,230.66,8.577214002609253
0.1,40,220,77.0,255.98,9.590028762817383
0.1,40,230,48.9,271.51,10.605905771255493
0.1,40,240,60.9,288.1,11.690181732177734
0.1,40,250,61.7,282.15,12.73183798789978
0.1,40,260,54.5,279.75,13.76443862915039
0.1,40,270,69.2,285.94,14.848260879516602
0.1,40,280,71.0,277.81,15.918554782867432
0.1,40,290,64.1,291.39,17.04352068901062
0.1,40,300,89.4,299.98,18.210867881774902
0.1,40,310,98.2,299.52,19.38915467262268
0.1,40,320,99.5,301.89,20.581241846084595
0.1,40,330,111.3,311.71,21.832173824310303
0.1,40,340,102.4,344.14,23.200241804122925
0.1,40,350,78.9,341.84,24.48587393760681
0.1,40,360,117.5,354.36,25.937755823135376
0.1,40,370,90.8,381.07,27.396670818328857
0.1,40,380,116.6,381.54,28.921071767807007
0.1,40,390,140.9,390.01,30.48594570159912
0.1,40,400,116.6,386.69,31.99933886528015
0.1,40,410,139.0,384.44,33.54086089134216
0.1,40,420,105.4,395.48,35.127662897109985
0.1,40,430,169.9,399.41,36.80615568161011
0.1,40,440,141.7,404.03,38.40779185295105
0.1,40,450,159.4,405.71,40.05976867675781
0.1,40,460,192.8,405.96,41.815211057662964
