seed,global_episode,total_steps,train_mean_reward,eval_mean_reward,grad_norm,time_seconds
60,20,471,21.8,49.19,63.51864352974275,0.2882091999053955
60,30,699,22.8,37.2,54.24616319044837,0.4360320568084717
60,40,945,24.6,35.47,29.549549829427185,0.5819849967956543
60,50,1271,32.6,37.11,17.805350494124593,0.741990327835083
60,60,1737,46.6,43.09,34.25066817959629,0.934758186340332
60,70,2117,38.0,49.69,15.514142696071527,1.1509413719177246
60,80,2474,35.7,61.23,31.34892949893432,1.4026260375976562
60,90,3218,74.4,77.06,105.54523254412847,1.73626708984375
60,100,3737,51.9,135.2,55.11548942942764,2.2464652061462402
60,110,4289,55.2,118.51,59.53451091482013,2.73087215423584
60,120,4954,66.5,81.9,30.34433601178647,3.0732474327087402
60,130,5551,59.7,82.7,57.94264119090709,3.4113593101501465
60,140,6446,89.5,83.45,43.6182695421172,3.789293050765991
60,150,7035,58.9,85.55,26.175271222085335,4.140151023864746
60,160,8018,98.3,101.27,69.06406960969431,4.585456132888794
60,170,8767,74.9,215.01,59.26694968487465,5.377262115478516
60,180,9383,61.6,181.65,51.63582635711443,6.04364013671875
60,190,10287,90.4,118.64,39.070533618196016,6.530776262283325
60,200,11266,97.9,107.0,34.676255536020754,6.993930101394653
60,210,12176,91.0,98.56,55.615887581053876,7.421523332595825
60,220,13099,92.3,115.81,75.45051664028729,7.9011452198028564
60,230,13921,82.2,150.64,109.45678939094256,8.491375207901001
60,240,15055,113.4,221.66,142.12784873318347,9.340004205703735
60,250,17105,205.0,500.0,124.36228851640259,11.259679317474365
70,10,222,22.2,47.93,21.010968325013856,0.19321894645690918
70,20,498,27.6,92.0,44.34256267217134,0.528066873550415
70,30,847,34.9,56.79,43.501269596979974,0.7586169242858887
70,40,1290,44.3,112.74,46.37551510404027,1.2188608646392822
70,50,1627,33.7,106.38,23.216603472108595,1.614419937133789
70,60,1947,32.0,76.49,23.2396591317366,1.9067258834838867
70,70,2412,46.5,81.92,40.11338980140089,2.240370750427246
70,80,3044,63.2,156.72,76.97111919839966,2.830303907394409
70,90,3694,65.0,103.03,24.77835890569187,3.2526299953460693
70,100,4253,55.9,88.23,40.0741097231325,3.717726945877075
70,110,4983,73.0,75.99,48.88242798729972,4.0772857666015625
70,120,5593,61.0,78.16,66.49308525089278,4.412903785705566
70,130,6163,57.0,112.66,67.77500242684482,4.847716808319092
70,140,7078,91.5,157.29,101.75839412050823,5.478698968887329
70,150,8077,99.9,500.0,109.00417443995791,7.252345085144043
80,10,223,22.3,58.44,30.36359372620646,0.22541475296020508
80,20,468,24.5,52.23,32.38632074725635,0.4277811050415039
80,30,944,47.6,61.1,59.618555662939265,0.6827688217163086
80,40,1465,52.1,56.53,44.27278541281351,0.9259219169616699
80,50,1939,47.4,176.17,46.35332525020984,1.588827133178711
80,60,2385,44.6,184.16,47.55472195420583,2.257701873779297
80,70,2934,54.9,110.18,14.841160100577529,2.742750883102417
80,80,3418,48.4,60.31,50.738616796185674,3.005998134613037
80,90,3876,45.8,71.25,31.842543107266074,3.2904269695281982
80,100,4459,58.3,70.09,10.353329392571231,3.592540979385376
80,110,5022,56.3,71.44,22.26343725368815,3.8898489475250244
80,120,5482,46.0,72.4,40.32944572938843,4.179049015045166
80,130,6122,64.0,86.22,9.134317953333026,4.537685871124268
80,140,6684,56.2,89.77,23.933454133645846,4.902790069580078
80,150,7400,71.6,89.49,22.796156766842696,5.274683952331543
80,160,8135,73.5,87.56,46.6766140798098,5.646064043045044
80,170,8831,69.6,139.15,53.77050974493273,6.176533937454224
80,180,9738,90.7,296.54,38.52502963825894,7.247557163238525
80,190,10557,81.9,211.86,62.07718100268329,8.038611888885498
80,200,11483,92.6,140.35,11.004473300719871,8.660533905029297
80,210,12515,103.2,138.42,46.302005548569454,9.242743968963623
80,220,13475,96.0,159.26,66.03280092575915,9.872674942016602
80,230,14527,105.2,167.41,36.39670960122925,10.555668830871582
80,240,15721,119.4,222.4,56.9786451913925,11.415409803390503
80,250,16963,124.2,325.79,109.65804140775698,12.693359136581421
80,260,19045,208.2,367.61,227.52426275739666,14.25952696800232
80,270,21327,228.2,285.55,180.33845578211717,15.532763957977295
80,280,24194,286.7,429.72,184.78521323005418,17.28477692604065
80,290,27260,306.6,498.96,60.034832930554316,19.26317000389099
90,10,226,22.6,40.55,28.495500961290585,0.17284798622131348
90,20,484,25.8,72.34,25.145883808641862,0.4449639320373535
90,30,751,26.7,47.43,26.148812148287355,0.6332540512084961
90,40,1035,28.4,52.91,18.205077526858343,0.8410170078277588
90,50,1472,43.7,53.52,17.95349610195397,1.068065881729126
90,60,1947,47.5,52.44,59.92421901789012,1.2944309711456299
90,70,2347,40.0,64.96,17.811895056244804,1.5524330139160156
90,80,2776,42.9,119.21,8.840695713117167,1.9900140762329102
90,90,3310,53.4,127.75,29.30442566754212,2.4668920040130615
90,100,3806,49.6,100.06,25.335366955591013,2.8498451709747314
90,110,4362,55.6,84.0,20.562337082357114,3.186209201812744
90,120,4901,53.9,117.33,42.6663398215904,3.632404088973999
90,130,5555,65.4,149.03,21.157144354439144,4.190724849700928
90,140,6110,55.5,164.54,22.697683227197036,4.813546180725098
90,150,6968,85.8,114.08,31.907610687505844,5.290632009506226
90,160,7552,58.4,125.88,45.644976131761986,5.766621112823486
90,170,8372,82.0,141.47,14.950250816180805,6.318512916564941
90,180,9269,89.7,153.72,7.5716230879498605,6.921151161193848
90,190,10009,74.0,115.68,58.92811285641793,7.389738082885742
90,200,10899,89.0,198.1,118.41945752905481,8.161684036254883
90,210,11680,78.1,290.88,77.64035303046475,9.215970993041992
90,220,12795,111.5,161.76,14.23336954084561,9.878215074539185
90,230,13724,92.9,162.07,90.38011465832507,10.5575270652771
90,240,14645,92.1,216.57,100.97685241667702,11.381335020065308
90,250,15798,115.3,310.61,40.676546833236095,12.558007955551147
90,260,17334,153.6,471.02,107.28924843380483,14.287823915481567
90,270,19409,207.5,422.49,216.37101964514378,15.922134160995483
90,280,21617,220.8,334.16,256.0013897098712,17.272974014282227
90,290,23811,219.4,227.48,152.09301225677817,18.27195978164673
90,300,25580,176.9,207.04,83.48070453049203,19.207004070281982
90,310,27612,203.2,207.32,58.7095814908755,20.11175799369812
90,320,29645,203.3,250.27,181.26430528054664,21.19240713119507
90,330,31604,195.9,265.18,125.24606139154062,22.282987117767334
90,340,33564,196.0,249.5,152.53354005147656,23.315310955047607
90,350,35634,207.0,221.8,62.149375644922046,24.275779008865356
90,360,37622,198.8,218.14,44.75121650733791,25.290117979049683
90,370,39820,219.8,217.68,119.36874704278343,26.266679048538208
90,380,41760,194.0,207.92,69.34510119411101,27.169466018676758
90,390,43561,180.1,225.68,80.98506597298389,28.114593029022217
90,400,45690,212.9,260.13,84.39580422500299,29.22196102142334
90,410,47803,211.3,313.95,75.3218304541385,30.495666027069092
90,420,49956,215.3,379.78,18.032806789668864,32.03275203704834
90,430,52713,275.7,397.27,76.61174065875254,33.65307593345642
90,440,54959,224.6,405.55,146.62540176784927,35.32339906692505
90,450,57065,210.6,382.12,170.09464878175532,36.8572199344635
90,460,58966,190.1,302.26,166.4795745709283,38.08057880401611
90,470,60710,174.4,232.22,115.90003937382997,39.089601039886475
90,480,62451,174.1,203.05,71.1272061709749,40.00393605232239
90,490,64280,182.9,191.11,113.2659077981254,40.88260793685913
90,500,65918,163.8,201.02,119.85971272261628,41.74743986129761
100,10,118,11.8,9.33,27.849515186133132,0.053640127182006836
100,20,275,15.7,9.33,40.77574440572258,0.10394692420959473
100,30,448,17.3,9.33,55.407068011327226,0.15572309494018555
100,40,609,16.1,9.33,14.52018082041649,0.2052443027496338
100,50,779,17.0,9.33,15.309532322717812,0.25614309310913086
100,60,955,17.6,9.33,17.085552897794145,0.30873918533325195
100,70,1166,21.1,10.44,72.96565929801766,0.4034900665283203
100,80,1461,29.5,20.54,43.65358711334765,0.5086393356323242
100,90,1697,23.6,73.67,30.132835314003504,0.7813172340393066
100,100,1977,28.0,76.42,38.99177655319668,1.0668962001800537
100,110,2316,33.9,32.83,38.26263929416689,1.2155020236968994
100,120,2569,25.3,24.34,21.423820608591498,1.3260681629180908
100,130,2933,36.4,24.16,50.477890326847586,1.4474773406982422
100,140,3241,30.8,25.65,34.682674859026505,1.5690062046051025
100,150,3479,23.8,26.19,21.97423071612299,1.682835340499878
100,160,3733,25.4,27.37,14.411383237265689,1.802401065826416
100,170,4185,45.2,31.36,78.20796437593187,1.954740285873413
100,180,4543,35.8,39.07,38.29841111670306,2.122537136077881
100,190,4814,27.1,47.19,14.097656476535454,2.312868118286133
100,200,5243,42.9,77.22,67.20072759355789,2.617462158203125
100,210,5762,51.9,79.96,55.549115462953075,2.938817024230957
100,220,6505,74.3,212.11,63.74341552644937,3.7180233001708984
100,230,7195,69.0,96.06,13.15017191401967,4.113590955734253
100,240,7754,55.9,66.42,40.20104629795759,4.396027088165283
100,250,8314,56.0,48.89,66.90995403529355,4.621523141860962
100,260,8860,54.6,48.17,71.9098202887921,4.841062068939209
100,270,9364,50.4,51.75,74.81259189609608,5.069979190826416
100,280,9936,57.2,70.84,61.90156081346861,5.369880199432373
100,290,10396,46.0,97.51,33.97677176256643,5.744544982910156
100,300,11000,60.4,111.89,22.433745416520644,6.178312301635742
100,310,11801,80.1,123.91,36.06073871957485,6.6773223876953125
100,320,12353,55.2,146.62,26.61394207487935,7.243149995803833
100,330,13449,109.6,306.11,62.65040214271961,8.416352272033691
100,340,14291,84.2,321.5,50.15857459926614,9.572936296463013
100,350,15395,110.4,260.02,47.243838909381715,10.598738193511963
100,360,16454,105.9,258.82,69.13722133178814,11.628894329071045
100,370,17851,139.7,340.08,122.5017434614229,12.975275993347168
100,380,19367,151.6,456.2,212.36272461313015,14.808331966400146
100,390,21171,180.4,463.72,66.58590471336292,16.55750012397766
100,400,22818,164.7,468.04,107.97685422641523,18.365662336349487
100,410,24733,191.5,454.46,118.40664696473864,20.077574253082275
100,420,26790,205.7,463.26,139.11554752226914,21.84437131881714
100,430,28525,173.5,498.15,81.18910659713701,23.691637992858887
110,10,166,16.6,9.35,30.194439365179093,0.058377981185913086
110,20,434,26.8,9.53,41.57749161275128,0.11981415748596191
110,30,585,15.1,23.17,17.728700400724886,0.21330904960632324
110,40,878,29.3,42.29,30.198607650348706,0.38341712951660156
110,50,1187,30.9,93.12,44.6676794963631,0.7203781604766846
110,60,1467,28.0,248.62,26.73918444288737,1.5571541786193848
110,70,1804,33.7,329.54,36.50708446037062,2.688289165496826
110,80,2184,38.0,325.43,31.841015093701152,3.8015291690826416
110,90,2616,43.2,358.49,31.812323748119855,5.035691022872925
110,100,3346,73.0,253.55,44.06944509350717,5.9775550365448
110,110,3980,63.4,195.38,32.60103082249397,6.6986072063446045
110,120,4873,89.3,168.94,48.22281996449886,7.346886157989502
110,130,5901,102.8,284.97,116.34980237089145,8.388556241989136
110,140,6918,101.7,462.32,75.76341932273739,10.00680923461914
110,150,8333,141.5,497.09,134.10224513287076,11.819996356964111
120,10,271,27.1,70.21,35.25335356403143,0.26613497734069824
120,20,618,34.7,203.58,48.523451603672754,0.997067928314209
120,30,1061,44.3,65.59,33.408809275458474,1.2604620456695557
120,40,1597,53.6,171.84,50.287092987269844,1.878222942352295
120,50,2095,49.8,176.13,43.874054666440635,2.5053727626800537
120,60,2614,51.9,208.08,40.63877455633222,3.251584053039551
120,70,3108,49.4,139.35,41.43964957981988,3.7686479091644287
120,80,3781,67.3,104.2,17.626037562930538,4.18704891204834
120,90,4494,71.3,119.18,51.97428000133378,4.654281854629517
120,100,5120,62.6,189.59,34.01002726746981,5.342354774475098
120,110,5945,82.5,263.7,61.49651168175138,6.285892963409424
120,120,7009,106.4,363.91,73.37766645968757,7.601297855377197
120,130,8366,135.7,454.67,82.24483579160648,9.29686188697815
120,140,10046,168.0,497.82,87.4947529966798,11.117530822753906
130,10,187,18.7,141.39,50.47251096684057,0.5270137786865234
130,20,463,27.6,27.75,53.34408333680717,0.6485130786895752
130,30,752,28.9,37.84,50.2055419762477,0.8044998645782471
130,40,1206,45.4,68.59,89.47238350238561,1.0764060020446777
130,50,1603,39.7,155.22,44.076122411489926,1.6349608898162842
130,60,2070,46.7,155.96,40.6677688571907,2.201213836669922
130,70,2567,49.7,92.2,31.09043705781643,2.5621869564056396
130,80,3246,67.9,82.83,17.36074661393606,2.911346912384033
130,90,3810,56.4,79.97,40.958953860152185,3.2426958084106445
130,100,4529,71.9,71.72,23.12371274462257,3.557910919189453
130,110,5184,65.5,89.96,115.24547630976659,3.927921772003174
130,120,5935,75.1,99.01,49.141690238394034,4.3435750007629395
130,130,6716,78.1,111.38,18.638754049940268,4.798600912094116
130,140,7466,75.0,207.01,78.90788814388517,5.560271739959717
130,150,8368,90.2,348.34,43.10005277508737,6.819299936294556
130,160,9297,92.9,277.52,45.76097971427447,7.829051733016968
130,170,10749,145.2,262.34,142.59674547695587,8.873024940490723
130,180,12052,130.3,497.21,62.69417698426191,10.685402870178223
140,10,233,23.3,68.18,87.75218479485471,0.25443124771118164
140,20,588,35.5,82.25,26.599847524067073,0.5629312992095947
140,30,845,25.7,60.28,34.43980396676761,0.7884342670440674
140,40,1199,35.4,62.34,28.355364973441336,1.0299861431121826
140,50,1568,36.9,61.4,15.113466269131365,1.275773286819458
140,60,1933,36.5,63.67,11.985189175217545,1.5290021896362305
140,70,2467,53.4,73.84,92.75957794903631,1.8287131786346436
140,80,2893,42.6,156.96,22.186523393144824,2.394329071044922
140,90,3462,56.9,160.15,35.38867544582208,2.9788310527801514
140,100,4075,61.3,67.81,44.937665716363874,3.267416000366211
140,110,4616,54.1,71.83,53.67240858831455,3.5673811435699463
140,120,5286,67.0,75.57,70.66272227564585,3.950580358505249
140,130,5960,67.4,140.26,72.30414405111705,4.481366157531738
140,140,6509,54.9,244.73,39.72656717656658,5.335248231887817
140,150,7105,59.6,162.84,51.726742800657235,5.927765130996704
140,160,7796,69.1,166.72,93.56118717779403,6.542294025421143
140,170,8567,77.1,231.69,60.7618051906531,7.376800060272217
140,180,9560,99.3,312.22,33.36822017548164,8.51619029045105
140,190,10774,121.4,374.93,23.269063881915454,9.931191205978394
140,200,11864,109.0,358.81,79.85799405186701,11.243687152862549
140,210,13796,193.2,295.52,241.15560623687026,12.432562112808228
140,220,16373,257.7,386.53,99.22909588752805,14.018267154693604
140,230,18889,251.6,386.55,161.5855536803509,15.5573091506958
140,240,21333,244.4,496.86,281.59304970269903,17.49649930000305
150,10,226,22.6,24.13,8.62521726672896,0.1195681095123291
150,20,454,22.8,83.66,63.2722037546106,0.42372798919677734
150,30,866,41.2,106.94,37.02698585949575,0.8300631046295166
150,40,1417,55.1,75.32,43.800093426346585,1.1415488719940186
150,50,1839,42.2,80.75,21.44787814170043,1.4546029567718506
150,60,2467,62.8,76.6,28.783955410509794,1.7851219177246094
150,70,2973,50.6,194.17,62.70252111028682,2.492083787918091
150,80,3615,64.2,196.0,28.914071716707756,3.2597737312316895
150,90,4199,58.4,140.8,34.15515569931777,3.7857038974761963
150,100,4961,76.2,125.22,31.900897479728144,4.293214797973633
150,110,5804,84.3,162.22,50.97010296664045,4.918506860733032
150,120,6487,68.3,214.69,38.81119319538363,5.71099591255188
150,130,7666,117.9,354.94,78.37947594309911,7.014072895050049
150,140,9003,133.7,206.48,111.31357089431228,7.856810808181763
150,150,10178,117.5,155.48,76.12141947177285,8.496264934539795
150,160,11624,144.6,155.83,123.1143695650273,9.181818962097168
150,170,12759,113.5,169.72,125.74811076279997,9.872040748596191
150,180,14043,128.4,207.83,29.396685027711708,10.74932599067688
150,190,15335,129.2,296.12,47.12685746470328,11.860231161117554
150,200,17415,208.0,375.71,142.4539821329708,13.348964929580688
150,210,19847,243.2,417.48,125.15903773710828,15.10712480545044
150,220,21892,204.5,433.0,63.77437412130764,16.752588033676147
150,230,24441,254.9,453.97,219.3733561644901,18.57106900215149
150,240,27827,338.6,486.16,249.56771405894918,20.57612895965576
160,10,190,19.0,21.6,30.717026193273856,0.10898303985595703
160,20,416,22.6,22.44,38.5153758684889,0.2102198600769043
160,30,720,30.4,30.72,64.26152625214894,0.348675012588501
160,40,956,23.6,44.36,16.628524412280317,0.5220608711242676
160,50,1368,41.2,62.8,13.465566815968677,0.7842888832092285
160,60,1925,55.7,82.32,25.855378815883746,1.1238880157470703
160,70,2505,58.0,201.76,26.631846391535163,1.847625970840454
160,80,3017,51.2,90.44,34.48736115283552,2.197619915008545
160,90,3617,60.0,86.07,34.48501121034854,2.5744707584381104
160,100,4307,69.0,120.39,72.53611877593127,3.044429063796997
160,110,5012,70.5,232.97,84.17361940927796,3.898164987564087
160,120,5691,67.9,500.0,80.29405576542293,5.62446403503418
170,10,197,19.7,37.43,36.32987160169698,0.14963126182556152
170,20,537,34.0,55.48,59.06868350373133,0.3705630302429199
170,30,953,41.6,46.4,21.176209002326463,0.5704400539398193
170,40,1466,51.3,58.4,56.32378049853071,0.8204069137573242
170,50,1734,26.8,65.27,16.951713180133954,1.0699560642242432
170,60,2289,55.5,101.16,118.11206014618692,1.4658880233764648
170,70,2794,50.5,62.98,13.39030852193712,1.7305729389190674
170,80,3308,51.4,67.01,33.60655018861198,2.0099680423736572
170,90,3883,57.5,69.63,3.495788359707531,2.3468730449676514
170,100,4540,65.7,64.67,38.56603251313711,2.6361570358276367
170,110,5130,59.0,62.58,37.84516724239914,2.912860155105591
170,120,5674,54.4,66.59,24.793289493085123,3.191599130630493
170,130,6162,48.8,69.22,25.05016889560283,3.472069025039673
170,140,6759,59.7,75.05,30.988269746900773,3.7822928428649902
170,150,7529,77.0,83.39,31.47003554912827,4.148489236831665
170,160,8230,70.1,86.07,49.17179455887679,4.517387866973877
170,170,8873,64.3,96.99,19.542861431179393,4.913707971572876
170,180,9730,85.7,135.24,27.88094082791352,5.486981153488159
170,190,10561,83.1,178.1,19.471279227994536,6.169044256210327
170,200,11657,109.6,168.91,56.977112108339966,6.8466880321502686
170,210,12684,102.7,178.47,43.30464190897684,7.54637885093689
170,220,13842,115.8,179.59,62.40937006774113,8.263010025024414
170,230,14977,113.5,218.38,80.11760229381224,9.105854034423828
170,240,16739,176.2,383.23,107.02998074746465,10.579641103744507
170,250,18428,168.9,362.66,65.12917317040755,11.97428011894226
170,260,20325,189.7,437.02,235.16922255455853,13.609632968902588
170,270,22254,192.9,491.49,209.18184294265185,15.490247011184692
180,10,263,26.3,86.14,15.293745977188221,0.32175207138061523
